ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
92b02539-377f-4a45-b180-99974a9ed149,1935-07-04,2014-05-01,999-15-2766,S99928365,X51771472X,Mr.,Gladyce198,Welch494,,,S,hispanic,puerto_rican,M,Boston MA US,983 Serena Spur Holyoke MA 01041 US
addf912e-c2d3-4d83-959a-3e19796fd911,1925-05-10,1981-03-29,999-45-6321,S99964852,false,Mr.,Genesis608,Pacocha52,,,M,white,irish,M,Springfield MA US,927 Dietrich Hills Suite 184 Groton MA 01450 US
34285abe-e58a-45a4-aa10-01e1109e642e,1921-09-27,1998-02-01,999-85-6782,S99910556,false,Mr.,Deonte363,Terry46,,,S,white,irish,M,Springfield MA US,205 Marisa Curve Suite 879 Easton MA 02334 US
db52e68b-4737-48a9-ac4f-fac0c5af1718,2015-02-24,,999-41-1633,,,,Caroline16,Zieme803,,,,white,italian,F,South Hadley MA US,707 Dare Spring Mansfield MA 02048 US
0f11c237-f6ce-4c90-9c52-799325d3b026,1937-11-10,1997-07-03,999-32-6978,S99997227,X72041665X,Mr.,Anjali31,Lockman322,,,S,white,italian,M,Boston MA US,748 Hilpert Gardens Suite 464 Hopkinton MA 01748 US
7090ac9c-4479-44ba-9b54-1c8d9c0129f1,1922-08-27,1972-04-16,999-88-7385,S99990533,false,Mr.,Corene590,Dickens872,,,M,black,west_indian,M,Hingham MA US,31706 Goyette Inlet Suite 338 Salem MA 01971 US
a89f450c-0faa-4332-96dd-b462479c6e81,1969-05-01,,999-35-8568,S99993942,false,Mr.,Martina353,Blanda735,,,M,white,german,M,Westfield MA US,7694 Brendon Terrace New Bedford MA 02746 US
64730185-a3aa-4624-930b-2f9a1ae8b814,1962-04-27,,999-36-8065,S99956685,X93096687X,Mr.,Winifred759,Johnston58,,,M,white,french_canadian,M,Danvers MA US,23162 Rickie Viaduct Suite 333 Hadley MA 01035 US
f6693f7a-fe4d-4911-96e2-c09d582f12a7,1978-08-11,,999-81-9763,S99976085,false,Mr.,Nannie165,Crona156,,,M,white,polish,M,Boston MA US,1285 Logan Court Suite 688 Hanover MA 02340 US
0605ac3c-4cc7-4257-b46e-fbafeff3168e,2016-07-18,,999-73-9267,,,,Allan993,Kuphal720,,,,white,russian,M,Revere MA US,1213 Lysanne Circle Suite 775 Newburyport MA 01951 US
